ID,Título,Severidade,Categoria,Impacto,Componentes Afetados,Causa Raiz,Recomendação,Fix Automático
CRIT-001,Arquivo .env ausente,Crítico,Configuração,Sistema não pode ser inicializado,"API, MongoDB, OpenAI, Jitbit, SQL Server",Arquivo .env não foi criado a partir do .env.example,"Executar: cd axion-ia-panel/api && Copy-Item .env.example .env && editar variáveis",Não
CRIT-002,MongoDB não configurado,Crítico,Database,Impossível armazenar logs e histórico,"Chat IA, Helpdesk, WhatsApp, Documentação",MONGO_URI não configurado no .env,Configurar MONGO_URI=mongodb://localhost:27017/axion-ia no .env,Não
CRIT-003,OpenAI API Key não configurada,Crítico,Integração,IA não funciona,"Chat, Pipeline Editais, Gerador Docs, Helpdesk IA",OPENAI_API_KEY não configurado no .env,Configurar OPENAI_API_KEY=sk-proj-... no .env,Não
CRIT-004,Jitbit não configurado,Crítico,Integração,Impossível integrar com helpdesk,"Helpdesk, SLA Compliance, Planilha de Horas, Chamados por Site","JITBIT_URL, JITBIT_USER, JITBIT_PASS não configurados no .env",Configurar credenciais Jitbit no .env,Não
HIGH-001,Script iniciar.ps1 da raiz usa projeto legacy,Alto,Arquitetura,Risco de iniciar sistema antigo,iniciar.ps1 (raiz),Script não foi atualizado após migração,"Deletar iniciar.ps1 e encerrar.ps1 da raiz, usar axion-ia-panel/iniciar.ps1",Sim
HIGH-002,Projetos legacy não removidos,Alto,Manutenção,Confusão e desperdício de espaço,"axion-ia-api/, axion-ia/, axion-ia-unified/",Projetos antigos mantidos após migração,Mover para .backup-legacy/ e deletar após validação,Sim
HIGH-003,Diagnóstico de Medição usa dados mock,Alto,Funcionalidade,Diagnóstico não reflete dados reais,"Diagnóstico de Medição, /api/medicao/*",Integração SQL Server não implementada (TODO no código),Implementar queries SQL reais para AxHub/AxCross/AxTon,Não
HIGH-004,AxHub SQL Server não configurado,Alto,Database,Impossível consultar dados reais do AxHub,"AxHub Dashboard, Diagnóstico, Relatórios",Credenciais SQL Server não configuradas,Configurar AXHUB_DB_* no .env,Não
HIGH-005,AxCross SQL Server não configurado,Alto,Database,Impossível consultar dados reais do AxCross,"AxCross integration, Relatórios",Credenciais SQL Server não configuradas,Configurar AXCROSS_DB_* no .env,Não
HIGH-006,AxTon SQL Server não configurado,Alto,Database,Impossível consultar dados reais do AxTon,"AxTon integration, Pesagem",Credenciais SQL Server não configuradas,Configurar AXTON_DB_* no .env,Não
HIGH-007,VARCO não configurado,Alto,Integração,Impossível monitorar frota de 72 dispositivos,VARCO Monitor,Credenciais VARCO não configuradas,Configurar VARCO_EMAIL e VARCO_PASSWORD no .env,Não
MED-001,Inconsistência versão Node.js entre portais,Médio,Configuração,Possível falha ao buildar AxHub em Node 18,"AxHub/docs-portal, AxTon/docs-portal, AxCross/docs-portal",package.json com engines diferentes (>=20.0 vs >=18.0),Padronizar para Node >=20.0 em todos os portais,Sim
MED-002,Código comentado em rotas do Portal do Cidadão,Médio,Qualidade de Código,Funcionalidades planejadas mas não implementadas,"/contestar, /upload, /chat (portal)",Features em desenvolvimento ou descontinuadas,Implementar ou remover código comentado,Não
MED-003,Validação Visual duplicada,Médio,Arquitetura,Duplicação de código,"VisualValidationManager.jsx, ValidacaoVisual.jsx",Implementação em dois locais sem consolidação,Consolidar em um único componente reutilizável,Não
MED-004,TODO: Integração SQL Server em Diagnóstico,Médio,Implementação,Dados mock ao invés de dados reais,medicao-controller.js (linha 89),Integração não implementada,Implementar queries SQL reais,Não
MED-005,TODO: Substituir mock por queries reais,Médio,Implementação,Dados não refletem realidade,medicao-controller.js (linha 159),Queries SQL não implementadas,Conectar ao SQL Server e executar queries reais,Não
MED-006,TODO: Análise em lote de equipamentos,Médio,Funcionalidade,Limitação na análise de múltiplos equipamentos,medicao-controller.js (linha 340),Feature não implementada,Criar endpoint para análise de múltiplos equipamentos,Não
MED-007,CSS inline nos portais de documentação,Médio,Qualidade de Código,Avisos ESLint,"AxHub/docs-portal/index.tsx, AxTon/docs-portal/index.tsx, AxCross/docs-portal/index.tsx",CSS inline ao invés de classes,Mover estilos para CSS module,Não
LOW-001,Propriedades CSS com baixa compatibilidade,Baixo,Compatibilidade,Funciona apenas em navegadores modernos,"portal-cidadao/src/styles/index.css, CentralSites.css, ValidacaoLinguistica.css",scrollbar-width e scrollbar-color não suportados em Safari,Adicionar fallbacks com prefixos,Sim
LOW-002,Token placeholder reCAPTCHA em desenvolvimento,Baixo,Segurança,Risco se usado em produção,recaptcha.js (linha 19),Token placeholder para desenvolvimento,Garantir que não seja usado em produção,Não
LOW-003,Inconsistência nomenclatura usuário admin,Baixo,Padronização,Variações de capitalização,Credenciais de sites,Falta de padronização,Padronizar para 'Admin' com maiúscula,Sim
